;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
0;Eemsdelta;11296604.940196244;14546993.45281171;16668411.770413052;24891125.585755505;16197255.39499039;6360967.949123343;7457632.39559037;13748772.983998394;19866550.730788466;0.0;-7637757.302017899;-10459713.103456581;112936922.63248378
1;Groningen;82441970.01031113;90638843.42483;76819885.18741599;111211708.17857057;86757304.41696647;42243296.21746382;36699672.96890889;107799442.73368709;84615000.87349075;0.0;-39535814.358285524;-56837265.57161783;622854355.6415377
2;Het Hogeland;10191195.650101725;10984323.022878923;13949454.370441474;22693370.96429021;16894685.359140687;6492281.205007691;7206410.890667229;11032039.889261886;23374267.49303226;0.0;-8080820.92844159;-12391360.87989317;102345919.72907628
3;Midden-Groningen;15055399.14396375;17812242.31425798;19605643.642968953;31949980.275478795;21463919.534567792;8612273.581739828;9137815.02165559;17377968.47942761;20506318.024462968;0.0;-10247508.077927012;-11677993.439758494;139596157.92633098
4;Oldambt;9225407.199825028;13366235.52604163;14751453.834847705;22385023.747960754;13637578.850756608;5248824.684651289;6752316.725283938;11573951.12075628;15799209.7499479;0.0;-6482056.20430022;-7385428.841502351;98872588.03991733
5;Pekela;2810924.57116067;4018956.1873324336;4385325.304409261;7606059.173022697;4277446.198184275;1462236.9654664379;1736454.8140865515;3399397.1029968727;4060175.3489749823;0.0;-2052261.2981285502;-1732449.9309386704;29972288.664142106
6;Stadskanaal;7834163.970426402;10222468.747929411;13351331.90109551;19562091.417552434;11231405.211751074;4151913.6687880857;5996556.48146828;9607056.444992367;10399644.701532602;0.0;-5359673.220799364;-5542166.128559507;81454854.54151355
7;Veendam;7156746.943279886;8565804.398240702;9810633.484408604;15824245.229145275;9662956.899525616;3576421.024561348;5096507.316787816;8834656.5257711;8653645.669494636;0.0;-4621794.75264069;-4924592.164349499;67635278.40374734
8;Westerkwartier;14025294.200984726;10210635.989443803;15114153.82935237;25131807.013446316;22264029.903918233;7613833.220979558;8695195.966739168;16089201.729652464;23270958.930507444;0.0;-10820983.521759015;-13067317.813521266;118526880.9629399
9;Westerwolde;6258953.802298931;5604740.358846715;9159894.302070947;12989938.250158638;9276387.943126889;3766653.4210631945;4612824.511804308;6652401.018961259;12420582.982759884;0.0;-4471190.139385193;-5467127.2291101115;60804099.48963135
10;Achtkarspelen;6028455.312867821;6579282.962479132;7678470.1996336505;14168317.64835793;9684180.431078445;3409589.536763442;4213478.691967467;7018120.298758956;8914398.143314548;0.0;-4703912.129655328;-4947352.449076693;58043071.827485085
11;Ameland;798253.4264106555;326534.11842790374;1024701.3055520268;1095300.6145305566;1553898.7290033323;978381.3142369892;577499.8457418549;846945.5718936919;2844151.2504367903;1336818.2345157105;-632202.8285000385;-2075228.3235366768;8675056.344579352
12;Dantumadiel;4055381.658391903;4990510.1818358;5713097.968618429;9729680.617430907;6572974.465316316;2277831.990193771;3072918.645464416;4617981.073986266;5716403.156156775;0.0;-3189957.1516901786;-3346698.3509522136;40210154.66533305
13;De Fryske Marren;12006708.83324588;8310904.771228252;15998778.245140005;21581695.69289855;18205112.60807243;6783883.157319376;6912236.853449911;13722618.747551857;23449654.551977135;0.0;-8682398.015175518;-11959640.852251684;106329615.96274665
14;Harlingen;4077619.83218086;4895040.694844019;6185973.668901749;8879168.808793781;5666788.01391424;2125928.8074035505;2353286.86493613;6329023.7721401565;6413960.425412629;0.0;-2676218.7340453635;-3638214.5331791714;40612384.22879946
15;Heerenveen;13422175.498157822;13361658.11834475;17137655.119064674;25158391.635521196;17999945.569629118;6943363.200672347;8526818.402834484;16621688.99350805;18163550.169252187;0.0;-8601963.372381568;-12243966.532951823;116489388.1936672
16;Leeuwarden;38774331.41236268;48845369.55364091;42031166.927745245;64047896.455943674;45435885.397950485;19706118.42065361;20527408.939040855;49298298.11252195;44913457.096533306;0.0;-21118973.59505997;-26916466.960045442;325544670.9092271
17;Noardeast-Fryslân;10090218.417382214;10619199.69124898;13842257.781991787;22741232.04531836;15977019.991350384;5835458.9478276335;8052868.004825936;12261293.725405788;20701118.620869566;0.0;-7672085.057753874;-9191953.101376357;103256698.6061774
18;Ooststellingwerf;5695569.843798732;5847312.672527577;8025799.731882702;11734554.1786297;9024196.64058393;3298623.5407988206;4073649.568639064;6474112.23807725;10802131.727185551;0.0;-4321258.620475797;-5180465.285869269;55474262.309417404
19;Opsterland;6440763.47322054;5689687.461366959;7748877.120483446;12081242.306570197;10380346.259186093;3572696.938238169;4475222.916389432;7188867.595153727;11467276.080229772;0.0;-5013030.199931933;-6039494.746357503;57992490.88223893
20;Schiermonnikoog;201973.14080504092;100158.94942705001;322866.1998007697;257760.35310372553;441606.0209655372;289059.034432676;219263.0821270218;206630.06748980892;1310711.124087994;362583.3229144213;-158850.00534535333;-617022.4974913766;2936739.656078137
21;Smallingerland;15326482.695914563;17218240.751604114;19770942.0616696;30197556.275216658;19721073.426719453;7508376.024589004;12095631.320251962;19496842.850755315;16620062.796888145;0.0;-9405636.70433039;-12212559.767765455;136337096.75347736
22;Súdwest-Fryslân;22479920.09420412;21549308.22934447;29672244.053799674;41960531.43190949;31936542.55289478;11926333.189315815;15429937.406427147;29255739.87753104;40408314.34773525;0.0;-15195079.961241849;-21756776.96160217;207667133.19017848
23;Terschelling;1203334.2026863089;328982.92206102365;1687557.2940173335;1268116.4086838535;1931460.3785976903;958289.2132860968;688285.0542501791;1278960.0985009482;3262370.7013813374;1697227.2505294457;-834635.6213813536;-2194142.3673274377;11275808.330883255
24;Tytsjerksteradiel;7132288.937227281;6331464.138593112;9380658.691584019;13130605.33346853;11260718.270423565;4042771.092146033;4508030.568036681;8014297.4195670355;11527439.286464171;0.0;-5432199.018183139;-5966354.729593636;63929758.19670701
25;Vlieland;290012.17491843336;121624.50666004227;392874.6811244706;403971.12017516594;491761.798075072;292361.63189525774;240337.1629134774;299863.8005989891;1407342.8270075158;458990.54115315026;-201086.6063270463;-667283.7773068936;3530770.9980083243
26;Waadhoeke;10316742.186101504;10228299.667553404;13462734.607482608;21442103.630140506;16198464.490395742;6119532.416878451;7102875.874091732;12284509.510822969;18913872.58584745;0.0;-7792568.748358272;-8105079.033102407;100171552.37572783
27;Weststellingwerf;6272349.161336549;5190966.675262518;9280166.43311619;13420649.864023682;9196737.41020783;3203732.356740342;4121581.7755962154;7299312.609412435;11520733.420828477;0.0;-4421886.060761496;-5323165.68108302;59761218.45716705
28;Aa en Hunze;5387030.235502354;3599297.7674671616;7060789.249986809;7986279.991083972;9084558.650182791;3203406.262913077;3186826.916139685;5772471.779539389;12087632.813041845;0.0;-4304263.016194335;-5590236.76818955;47473817.45805732
29;Assen;19862169.881145634;19656451.087932665;21307554.506619856;33713511.738260575;24516570.806117862;9238570.605368912;11986700.865856389;26078468.380043603;16894135.43627527;0.0;-11607324.702253327;-14191060.404269934;157455838.39858148
30;Borger-Odoorn;5445136.752923618;4852684.034677138;7738904.397090968;10588333.91222989;9012784.048849748;3230172.1437794557;3462234.036010083;5858433.16317236;12820982.726163216;0.0;-4321426.894062323;-5709964.7221553475;52978306.82599354
31;Coevorden;8195922.26424435;7482123.352953201;11418525.452498158;15379126.655584902;12554397.828722455;4749295.436903889;5407586.382513379;9726851.102842353;15195671.47666553;0.0;-5976563.177594065;-7785404.215052752;76347578.00988223
32;De Wolden;5214878.817362345;2927795.4239417827;6576653.62459334;8282155.03393772;8542665.740284277;2948801.9939948358;2982086.6395783657;5769262.025300245;10205503.01510272;0.0;-4124547.120162325;-5429107.635867955;43896171.05574149
33;Emmen;27777652.50672592;34425200.322483264;39295301.506986395;60460973.20318717;37874422.6242139;14003900.708553951;18057300.709221758;34565342.72195993;32386299.87034954;0.0;-18149286.204682693;-20555805.26092038;260141481.64747596
34;Hoogeveen;14829461.42871003;13657035.306819536;20199259.032016635;30324343.330799628;19637412.645534344;7259879.741233023;9770956.6667626;18548032.127138555;16769832.512802405;0.0;-9399242.31955438;-11292907.001515035;130304150.5400927
35;Meppel;9254464.309844822;7541010.333296403;10054254.300350392;16181429.911642844;12276925.1705173;4527348.547862127;5959477.747936523;12162222.30537956;9646422.233806964;0.0;-5849348.555040605;-7878763.869620515;73875486.52159543
36;Midden-Drenthe;7425633.07186128;5518063.933413174;9107878.815803194;12810887.481710257;11856570.267238988;4095552.3321926375;4474198.868607466;8405737.34223501;15149546.286551801;0.0;-5668959.5663070595;-7770408.196007246;65404738.01714788
37;Noordenveld;7035741.31327067;5305259.019787914;10009188.97401426;11861179.693007957;11025516.664044509;3682371.5412103105;4232563.886866184;8146297.791004901;11267569.121386884;0.0;-5256521.68164948;-7791924.303410993;59517276.75596342
38;Tynaarlo;7439566.284357592;4622745.915616752;8295438.3669624925;9574748.06369298;11965452.670235815;3919753.801944658;3788192.3611766123;8406104.307002157;10785166.25834591;0.0;-5758480.967972296;-7895111.37609405;55143599.64089295
39;Westerveld;4199970.495812637;2992394.671565243;6734727.878418219;6789683.895549818;7049693.965398049;2484530.4259395367;2640601.8085138677;4503353.14702277;10235291.79056592;0.0;-3340898.3121187277;-4826608.769015716;39462761.68845733
40;Almelo;22216215.660714917;25073540.318673335;25547224.848047953;42205102.57275291;25791541.69013367;11206461.167631254;15343895.948534045;28225806.597145595;20311594.287882924;0.0;-12310034.048387963;-16725348.127184536;186886121.6015079
41;Borne;5710777.14842351;3549791.2554009454;5582099.617897439;8712668.65188797;8329037.596675109;2708509.5497178948;2681371.7857765174;6730527.8680439;5472025.83243138;0.0;-4039737.370696975;-4920300.300470398;40516795.0975366
42;Dalfsen;6409806.65605904;3191054.958230986;7036653.219040456;9860547.687669756;10083473.952496836;3135098.9223407395;3529822.377796123;7438768.312281241;10026813.494153133;0.0;-4907186.288331335;-7048447.727199703;48756431.37449968
43;Deventer;30087392.492777746;27604073.87765951;30097455.359603524;50636428.80816047;35806871.4493569;14982842.581230588;16188089.039752798;38810294.21286985;26403519.24682097;0.0;-17070654.274739325;-23103660.190715913;230442792.7870722
44;Dinkelland;5678051.320524386;2841134.3181693996;5948237.572349528;8153845.87045743;9169410.900882993;3038124.4940389646;3019217.7985451557;6675866.48185919;9641215.2499826;0.0;-4475060.426941583;-6631070.603720586;43058995.00134389
45;Enschede;50605322.403318495;58289762.32134977;52788436.99097723;85260548.00293244;57519852.933500804;26832570.104747374;28887394.41259397;61626522.411512606;43366393.02254914;0.0;-27031424.63486175;-35683488.53113491;402462139.53781056
46;Haaksbergen;5939085.310160817;3652981.6126483986;7447049.940093812;9933663.494905928;8479223.985086266;2890902.117151013;3371254.9088985273;7097200.112485345;8203049.181438761;0.0;-4083656.7060638145;-5522830.563083221;47407951.51737966
47;Hardenberg;14404533.662564678;10326794.814276665;15195461.944752395;25815462.476545215;21442740.52849821;7156361.402181472;10297433.004356962;17348913.965854127;20824099.929383617;0.0;-10398954.057470571;-14005947.695623856;118406969.81735617
48;Hellendoorn;8791167.951263627;5172748.726905501;10534111.41380871;15420464.144763922;12475849.392158017;3907367.381798175;5531150.200751841;11321160.94226889;10496683.759789096;0.0;-6047742.787930201;-8077749.02296612;69525253.20663579
49;Hengelo;24295878.77712199;22657286.63413851;25611728.00520462;40589313.713876635;28995545.472388256;12464293.544836182;14877510.674048895;29524476.8584847;21980449.23494951;0.0;-13710236.267697776;-18859750.81670197;188426611.38155678
50;Hof van Twente;7730376.549857454;4940897.608045429;10465762.289230874;12666528.379879532;12222337.01564038;4239263.471687466;4153035.874626927;9486488.921594432;12808422.199522711;0.0;-5898989.1824819185;-7756804.180575222;65057355.542023644
51;Kampen;14532930.324849024;9895664.623449177;14529224.762587417;26489102.80947828;19047698.380263392;6620465.304084133;9941742.542619277;19588982.333082158;16339547.35637291;0.0;-9219862.969050856;-11764564.679075226;116001001.66636458
52;Losser;5075097.901526622;3725692.6353305303;5941568.220909326;9151563.740145132;8038935.8539896235;2735870.2346201427;2960336.1235112287;5731637.2238515355;6451547.887828711;0.0;-3884421.105241591;-4741137.202044733;41186719.12095508
53;Oldenzaal;8277056.056411973;5883017.023602989;10110716.137071311;14661290.200462522;11180919.739013065;4187751.6870290427;5714949.587577752;10405010.19757643;8916271.309998425;0.0;-5341163.155883739;-7695528.230546413;66300332.95831976
54;Olst-Wijhe;3977663.67273368;2432306.708462319;4119268.8789527607;6324472.584485926;6415451.176950173;2051741.2089052028;2295905.428967019;4427575.726811867;5870095.786122137;0.0;-3112383.1549334666;-3892586.0378403193;30909529.97909647
55;Ommen;4327969.879047304;2833865.0685066567;5221371.899221465;6597469.273181383;6494634.033741778;2025538.0481061065;3962521.712543384;5278498.6500626905;8009026.412162577;0.0;-3105820.496570931;-5077041.91009949;36568049.51680571
56;Raalte;8751570.666795058;4616746.183128809;9910940.855446536;14354055.735483086;13253216.075139934;4313611.492250351;5866374.008591947;10407940.174156558;12202809.70666301;0.0;-6417944.071441631;-9028936.605596866;68230423.63939162
