;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
0;Eemsdelta;11690971.8825893;14544482.436750015;17949167.620952107;25746660.27832798;16922450.117951903;6731925.070876034;7974846.26614725;14292103.64447524;21005215.885988053;0.0;-7936708.318629242;-11260675.503383793;117660358.27130435;;
1;Groningen;87008086.31280674;93676895.6360001;84169976.97534509;123247227.44766864;91869005.33741236;45983917.80390234;39045303.51290777;113375489.01839909;91161907.53905994;0.0;-41637733.529317416;-61611495.60963028;666288223.723293;;
2;Het Hogeland;10628516.049635135;11408270.177824596;15171736.410561243;24343173.010875892;17722628.427844305;6958848.129197415;7735556.132484678;11560985.902352877;24515412.855966546;0.0;-8444445.045928016;-13276825.612334343;108323777.70017205;;
3;Midden-Groningen;15748374.05002422;18294228.02323424;20979698.955931645;33536160.313605525;22638934.084076073;9194011.904730486;9476671.078280464;18284395.97031464;21605828.64975289;0.0;-10762130.323517816;-12732744.96742796;146263322.92450744;;
4;Oldambt;9695396.596802827;13850891.849027768;15789380.513296643;23524458.064794462;14440120.015000444;5644849.625000095;7182899.1569579365;12217577.705809742;16665515.594476858;0.0;-6826471.331188427;-8289580.064521042;103894961.99271956;;
5;Pekela;2961517.320563848;4138385.9080394194;4605486.102563732;8311738.868054948;4530330.782842286;1575890.7940073668;1905691.1964980136;3604203.272336917;4235039.288277704;0.0;-2168721.1957516773;-1868306.2023854854;31831229.416906204;;
6;Stadskanaal;8181564.522596117;10818547.723550756;14231268.5018284;20683949.765945297;11816256.793755788;4428060.407788807;6410651.331677823;10080881.741924532;10884388.02705111;0.0;-5618498.5200297395;-5984705.126748153;85932299.76806793;;
7;Veendam;7440005.195832624;8857875.2311225;10728252.32407447;16393605.035617681;10144696.043104902;3784502.8505358156;5290994.451758584;9246827.5153066;9087361.39408666;0.0;-4828394.434468097;-5157126.898089915;70988548.9495028;;
8;Westerkwartier;14640247.439052593;10880995.162837226;16555441.783502692;27172603.589075975;23447870.96041253;8156504.969945094;9165612.348382415;16885763.185240287;24693296.563381538;0.0;-11355189.198614608;-14043170.03513996;126199897.94603464;;
9;Westerwolde;6406877.61697717;5662948.187396403;9990737.144288862;13805972.586099438;9678097.592907056;3946993.7561896793;4734055.310707506;6884534.290640163;13152833.62258002;0.0;-4639741.567029091;-5892303.437460937;63730961.70467984;;
10;Achtkarspelen;6254649.925088812;6854040.756306688;8089011.961702961;14638662.40326773;10178949.703067306;3616507.8542043422;4397607.110951469;7332746.93978932;9466618.61884232;0.0;-4921584.404282257;-5271425.593100512;60635740.38031248;;
11;Ameland;841050.5992708335;379571.8767826407;1268088.2518279876;1498440.2637629574;1657705.8922115446;1056418.4035372906;635488.7576295749;900430.1724918897;2992637.0006553805;1414826.4692975013;-671387.4068556414;-2125617.608866653;9847648.045869695;;
12;Dantumadiel;4241503.206905105;5195964.796149248;6057690.546475635;10114163.433497526;6935061.7903508125;2427909.0936804637;3288826.5416240133;4859083.6185575165;6011381.728186904;0.0;-3355887.9913999764;-3612816.7311611893;42162848.34510397;;
13;De Fryske Marren;12517669.465284863;8802782.601837827;17406158.541652795;23056809.68470762;19149682.556065492;7475598.466477142;7270834.246413001;14342383.532532074;24889173.03449607;0.0;-9090305.743891817;-12919205.877618553;112901513.8462832;;
14;Harlingen;4292019.0638565505;5061178.970130884;6842513.352256424;9947389.03968178;6017108.848185703;2314201.437824341;2505727.6407491816;6675979.923795272;6795136.808541098;0.0;-2830317.537747766;-3905490.942922057;43715416.06093899;;
15;Heerenveen;14035243.2195484;13003606.834279757;18240929.684747197;26824531.60886869;18972550.066316668;7441071.661398822;9095929.619231604;17460756.73961403;19202618.40322089;0.0;-9028237.376316126;-13152274.43812704;122096648.86952376;;
16;Leeuwarden;40888556.73944115;50921438.11877317;45798919.13922815;70271820.19801603;48077667.487611935;21483986.38089685;22119301.851935383;51949227.567498885;48372071.453664795;0.0;-22217503.110562235;-29450008.89923367;348215275.19708043;;
17;Noardeast-Fryslân;10451854.169909548;11170196.552651333;14868421.572997361;24262365.460155882;16758298.029241689;6235950.261273878;8419552.976980962;12789985.98700223;21657025.916514575;0.0;-8009791.635996938;-10044796.341518823;108558987.62926243;;
18;Ooststellingwerf;5922531.092033135;6269302.617584402;8770934.273223989;12546979.58584783;9473864.90149145;3518069.068853773;4255526.860031026;6776621.450850573;11337588.577947205;0.0;-4517353.236961039;-5597396.494077376;58756629.66113346;;
19;Opsterland;6709651.022877485;5665677.7699512765;8558797.660562038;12869482.678189013;10927592.328111775;3807566.2544279937;4714010.390033845;7535725.140079908;12190201.200992912;0.0;-5254655.50137333;-6509557.940477688;61214452.45979812;;
20;Schiermonnikoog;216378.46802050123;96092.61681155095;360904.85312020825;267683.6004067279;474515.41466021654;305202.1357380586;223554.93171471352;223644.6090561839;1360552.7193861718;391898.90080623113;-171693.34206416662;-665562.5618018886;3083171.4409515634;;
21;Smallingerland;15907130.264868606;17941297.300674263;21322179.4490232;31522148.783976495;20678933.111126445;8007943.559859555;12476688.975744491;20289828.682292216;17590084.26614284;0.0;-9808200.715486255;-13342260.761401119;142585683.06994742;;
22;Súdwest-Fryslân;23353435.702806592;22036073.92527313;32414673.651111808;45316185.09422475;33532337.8706427;12722332.70006558;16426883.995260509;30548793.924048305;42403152.08159781;0.0;-15890026.482973605;-23404507.83813831;219459203.34541816;;
23;Terschelling;1232486.3036123263;376265.719452828;1967430.826770516;1660490.9975052015;2016036.2650291938;1033314.1071722836;716034.3726773346;1318257.7184708025;3431140.8302679444;1753503.4208236581;-861613.8386978765;-2322255.4935343633;12321086.90775688;;
24;Tytsjerksteradiel;7391191.583074873;6822112.645818845;10161847.966933798;14268789.603957307;11814171.315003509;4340335.96906824;4819556.1030224785;8359914.954583363;12169628.770690667;0.0;-5666229.969700991;-6386408.923751181;68094867.47063449;;
25;Vlieland;323011.23592812434;172021.77216398506;535913.7510393589;804971.0379061784;543978.1702953031;331049.16775860783;263537.19657452736;338458.22383056936;1446626.6543155361;515215.35741233587;-225719.04747608714;-726954.7381038199;4322106.1242267145;;
26;Waadhoeke;10754965.264909735;10791432.185821772;14537322.264901856;22977469.196181055;17049305.000184298;6541235.5234263465;7350317.795676139;12895630.963665636;19833191.665036533;0.0;-8168197.1028803075;-8800032.467821777;105762569.5392057;;
27;Weststellingwerf;6527709.377005297;5553306.22703762;9954657.832251722;13875211.898889255;9679364.083573777;3412413.1499768086;4290031.431463938;7637603.945563154;12141397.590065798;0.0;-4627502.733163456;-5763017.017172942;62681133.792705886;;
28;Aa en Hunze;5584235.412569279;3717898.054350477;7726466.427592611;8297644.031201455;9532307.63877088;3275921.3576095304;3365653.1908907723;6027724.026727055;12664911.55964464;0.0;-4497596.263470053;-6006740.828370869;49688400.03998839;;
29;Assen;20681115.430445466;20345850.592510384;23538706.979580827;36337180.144611895;25760830.888081003;9896717.061587345;12638614.731010472;27247493.34370899;17938141.687486608;0.0;-12136376.421858361;-15062082.457636628;167186092.33443612;;
30;Borger-Odoorn;5673411.813368008;4867309.924443761;8244031.82583697;10934066.389102729;9502017.685071876;3432455.9428034355;3615808.0377681386;6146046.625297354;13438757.61396092;0.0;-4531690.154865477;-6148789.699659239;55173391.585967585;;
31;Coevorden;8485272.31331244;7769737.92120723;12212163.548439931;16277282.989797765;13173483.60235829;5033275.872944258;5659987.978217148;10167384.480766261;15772105.8587371;0.0;-6241804.7973998245;-8379591.489415873;79929249.51997356;;
32;De Wolden;5402015.424870556;3027565.9333441793;6884721.639903598;8158169.7222361835;8953689.66279734;3114781.172792311;3070715.0897035394;6010372.389610747;10735095.699994689;0.0;-4301425.2564056935;-5890093.8223384805;45165584.71956969;;
33;Emmen;28995954.145155348;35365582.098371565;41955063.48551399;63070484.11727345;39844112.195054084;14900718.9525162;18952399.38060015;36261452.6170843;34274428.51624738;0.0;-19016523.772443663;-22323020.78905425;272280463.1657363;;
34;Hoogeveen;15506492.179486532;14239682.441168072;21785705.608269636;32227303.99352516;20685338.59359455;7759846.996573616;10402071.227555027;19495079.503721543;17717606.903486017;0.0;-9866772.27289529;-12362223.068846332;137590038.45993567;;
35;Meppel;9798137.952396572;7805961.72836531;11070701.003270939;17106777.197190456;13058117.776327573;4884075.604124749;6373894.482826835;12871368.453937398;10291184.757450115;0.0;-6200542.447052181;-8460188.03935357;78599441.29701117;;
36;Midden-Drenthe;7739319.625106862;5674947.5313731395;9837527.139927624;12794611.51507182;12508628.617399883;4348830.608525766;4647652.155812499;8814880.58316835;16022516.250006875;0.0;-5942303.072412132;-8204701.339583872;68241872.55303898;;
37;Noordenveld;7355977.6270220755;5450066.8402305925;11161442.016807877;12659570.679120697;11636036.512780624;3940474.6502937204;4477419.607717748;8583165.990068158;11815056.744384814;0.0;-5523385.304795685;-8437336.802552518;63118451.05314481;;
38;Tynaarlo;7791101.097594772;4787350.100695426;8959132.781895611;10298440.085094819;12621808.485018564;4219728.712763244;3994824.469319845;8856323.589285614;11496048.764320739;0.0;-6048081.55676506;-8267485.250214005;58709165.03094816;;
