;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
0;Eemsdelta;11213198.005800001;14488444.973304;17101053.544395998;25492645.370292;16332370.291864;7336803.202529999;7860842.738376;13619217.926799998;20798476.290149998;1824865.57;-7550915.8028;-14919674.871799998;113597406.82579398
1;Groningen;86591358.6209;94483748.351576;110480870.646788;123192697.917544;90099515.422068;44942851.226898;39285909.039748;112040304.5068;88990653.72316;-35479988.0;-40807689.5184;-83368663.36019999;630451920.1724322
2;Het Hogeland;10254057.2233;11896789.767603997;14807781.690783998;24140840.881676003;17271522.906212;6731207.705147998;7655981.651904;11042524.408799998;24569693.591054;3805929.0;-8072880.851199999;-16544678.454199998;107558846.78839402
3;Midden-Groningen;15174578.9753;18341847.976956;20274495.941628;33180894.590028003;21875787.365156002;8899991.299432;9337754.279927999;17483289.6076;21535999.72385;3556427.0;-10284117.645399999;-16909069.056199998;142467983.16248998
4;Oldambt;9454611.0133;13968081.145863999;15008038.282479998;23428649.572639998;14118314.4153;5511108.016438;7082762.136023999;11809004.0568;16344544.046103999;220463.0;-6596546.739;-10855387.024999999;99493716.60201602
5;Pekela;2886183.5778;4197578.819019999;4427395.580472;8249117.432612;4440292.273224;1555299.612698;1899103.8203119999;3491586.056399999;4175258.6543360003;641455.0;-2095393.3646;-2287224.5015999996;31580679.179412007
6;Stadskanaal;7869035.273600001;10777348.238863999;13518898.735807998;20429098.215579998;11404263.618479999;4293791.384018;6250590.55078;9617652.4456;10733675.55088;0.0;-5359097.8494;-7644147.904999999;81891172.38967599
7;Veendam;7154081.0159;9029534.656544;10329394.33262;16184533.626248;9781098.109916;3673898.61295;5181529.8697999995;8826806.193999998;9029958.598794;516443.0;-4606952.575999999;-6774878.972599999;68325495.36998998
8;Westerkwartier;14116380.720300002;10946213.181524;16008696.444935998;26816049.18702;22721263.62094;7860597.88314;8988875.285967998;16149962.971199997;24236438.904756;4797365.0;-10863837.0048;-17464397.742999997;124313685.95558396
9;Westerwolde;6153038.1808;6906500.4166399995;9615593.32774;13820727.174039999;12177333.213200001;3809556.426208;4643149.3564;6565316.465999999;12919434.034536;0.0;-4430341.567;-7446814.821799999;64733534.78802
10;Achtkarspelen;6058048.154;6870235.883315999;7838518.463216;14464037.495520001;9880996.721360002;3520061.125848;4288463.401488;7037319.8652;9332632.139383998;957465.0;-4725139.658799999;-6628121.234199999;58894561.510948025
11;Ameland;811747.1073;357363.221604;1230283.601124;1491506.13202;1652575.9501800002;1052216.7507759999;623347.229336;860661.6307999998;2950442.0041699996;1354350.1482;-642663.1882;-2704080.0139999995;9037755.169281997
12;Dantumadiel;4070326.0817;5015229.833463999;5823299.8509599995;9992800.722224;6715487.875348;2353229.574226;3222993.664992;4628658.554;5909368.849342001;-516328.0;-3203271.713;-4539285.6284;39472540.75334199
13;De Fryske Marren;12076381.915400002;9034794.664603999;16727759.116964001;22840719.421432003;18577828.508744;7206019.732819999;7185308.252912;13724468.042799998;24457633.342380002;-6320245.0;-8693111.9302;-16676217.314199999;100141404.38690796
14;Harlingen;4165527.2509000003;5040593.456944;6589005.543863999;9836072.949688;5826656.029796001;2269980.73833;2455936.897288;6439168.806399999;6872906.232958;-1954558.0;-2716796.2701999997;-4942372.039799999;39882151.66168599
15;Heerenveen;13587673.8414;13683853.475599999;17556252.889092;26494651.087928005;18388611.025816;7198066.947155999;8883051.388168;16829335.4172;18704845.586144;-4760429.0;-8669340.590599999;-17187767.3584;110708880.541764
16;Leeuwarden;40379644.96;52218983.882460006;68231414.98526;70152754.801628;46833331.559296;21101125.715058;22340868.86512;50820775.70119999;48263979.56113199;-4094978.0;-21563283.478;-38046374.08979999;356638443.5284679
17;Noardeast-Fryslân;10111776.369099999;10915819.075284;14221200.879455999;23986774.532740004;16333270.75366;6063882.457071999;8268361.86456;12270498.4052;21079558.011502;0.0;-7678142.6908;-12665875.849599997;102907197.79045804
18;Ooststellingwerf;5708468.1971;6237278.759516;8432092.507584;12372688.806020001;9243348.93846;3407798.5801279997;4125753.5087440005;6476281.2447999995;11091942.60957;134643.0;-4323035.731199999;-6851978.369599999;56055320.38799803
19;Opsterland;6485336.4322;5905249.12266;8229889.943343999;12719230.825364001;10652192.030888;3694434.85633;4654986.562784;7220759.9808;11987758.162903998;0.0;-5031990.8242;-8067187.219199998;58450697.805908
20;Schiermonnikoog;207748.75920000003;104083.545676;347334.86215199996;262260.38844800007;505631.747856;328553.437736;214499.15892000002;211653.15839999996;1368115.9632679997;263425.78159999993;-162716.4936;-830793.2514;2819797.9414959988
21;Smallingerland;15513520.036800003;17865035.350964002;20495508.791876;31416592.193416003;20099734.157872;7775776.52248;12333878.59176;19669251.637199998;17160916.83118;-812272.0;-9485266.7118;-17292701.595399998;134740062.2365639
22;Súdwest-Fryslân;22446261.8084;22401595.386155996;31097287.878236;44714438.864112;32355920.341104005;13267084.79856;16017733.318584003;29192109.7392;41427004.26724801;-8380187.0;-15136818.999799998;-29642415.325399995;199760144.01751208
23;Terschelling;1185388.6635;381944.570936;1911827.316868;1664565.203856;2003300.4228120001;1026383.3235939998;723826.611912;1255866.4315999998;3364418.1253500003;1074516.5324;-819943.8123999999;-2960276.7405999997;10811820.963361999
24;Tytsjerksteradiel;7179476.869099999;6890303.589556;9768361.605220001;14294841.004172001;11510474.973323999;4215585.69768;4787385.36764;8063916.874;11973256.396218002;0.0;-5456526.861;-7999365.9317999985;65227751.45792204
25;Vlieland;303312.57480000006;181179.30571999997;514074.74597999995;785367.74676;565132.11048;351555.272864;248185.198904;314488.11;1449895.020758;184517.28899999993;-210091.769;-911664.1257999999;3775954.088154
26;Waadhoeke;10443545.973700002;10756244.730643999;14111705.092675999;22740728.615420002;16605298.9901;6342606.213704;7199433.8251519995;12413154.4168;19475876.764358006;-148087.0;-7853079.6618;-10940346.874599999;101147150.54318199
27;Weststellingwerf;6301371.5479999995;5620900.390496;9577072.931791998;13761531.609059999;9450825.78808;3306785.225754;4202682.46416;7320099.176399998;11937085.045824;-2359556.0;-4434024.4506;-7207116.7201999985;57477698.41298398
28;Aa en Hunze;5455953.894900002;3701044.761015999;7462283.600319999;8244053.369615999;9360854.786772;3200957.6220299997;3347202.529056;5838549.957999999;12369091.347182;0.0;-4326551.211;-7453397.2034;47200067.540958
29;Assen;20322620.106000002;21251918.484904;28032087.980216;35966486.59221999;24886898.85448;9814646.201306;12359072.880104;26388249.225999996;17527933.365456004;3803444.0;-11668212.263799999;-19224978.5092;169460264.95036802
30;Borger-Odoorn;5504438.0115;4919586.6686040005;7990019.672423999;10891648.282204;9325993.984827999;3337540.084364;3596670.033768;5908699.434799999;13142815.833865998;-453906.0;-4354842.453199999;-7735203.7578;52073493.77255
31;Coevorden;8234200.594800001;7926409.45984;11775849.9323;16079271.392904;12841640.720608;4913749.102415999;5504985.950664001;9762187.884;15500084.015684001;0.0;-5980500.755;-10437548.404;76120377.80331197
32;De Wolden;5213972.798800001;2930488.552336;6632212.948580001;8069096.328188;8753197.502416;3021780.856218;3005160.92912;5746946.609999999;10567682.460952;-423938.0;-4114785.4039999996;-7513559.805999999;41888278.327204
33;Emmen;28174549.6832;35875946.310096;49414758.547436;62607880.752932;38622286.856864005;14388296.309278;18873893.756408002;35164728.2912;34828765.26337999;-2024630.0;-18304935.9148;-27881014.892599996;269740709.4539121
34;Hoogeveen;15022774.907600002;14528706.88468;21045685.116756;31877699.714304;19990736.657728;7504325.502764001;10181651.262543999;18774505.0932;17292440.793916006;-1604755.0;-9473548.445799999;-15778146.11;129362168.24118401
35;Meppel;9588796.141099999;7832629.012064;10840406.157060001;17004995.387448;12711627.270076;4768228.278794;6272709.797912001;12523849.693199998;10178565.795322;1499855.0;-5994730.078;-10663574.802399999;76563404.227582
