CBS	Naam	Prov	Beschermd wonen	Participatie	Voogdij/18+	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	maatschappelijke opvang	personen met verward gedrag	slavernijverleden	Uitstapprogramma prostituees	veiligheidshuizen	vergunningverlening, toezicht en handhaving	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
1979	Eemsdelta	1	0	9252682	0	0	339782	0	0	0	36821	0	110827	0	0	0	0	0	0	429516	0	23000	97143	0	29912
14	Groningen	1	74350171	28780269	0	253711	1317312	473748	0	185000	71726	553998	32330	0	17453293	345035	0	201876	265650	418815	398593	59000	415754	7612047	146199
1966	Het Hogeland	1	0	7691344	0	0	215890	0	0	0	37239	0	91300	0	0	0	0	0	0	371479	0	13000	109116	0	32379
1952	Midden-Groningen	1	0	11203738	0	0	379171	0	0	0	39637	0	11035	0	0	0	0	0	0	614845	0	35000	115173	0	33946
1895	Oldambt	1	0	12850711	0	0	245057	0	0	0	35462	0	16553	0	0	0	0	0	0	183383	0	16000	82042	0	24274
765	Pekela	1	0	4885414	0	0	102466	0	0	0	30607	0	0	0	0	0	0	0	0	52534	0	2000	24325	0	9212
37	Stadskanaal	1	0	17453387	0	0	173366	0	0	0	34248	0	74100	0	0	0	0	0	0	184356	0	6000	60954	0	18623
47	Veendam	1	0	9176753	0	0	184324	0	0	0	33442	0	0	0	0	0	0	0	0	228135	0	9000	50786	0	16822
1969	Westerkwartier	1	0	8215405	0	0	205532	0	0	0	40186	0	0	0	0	0	0	0	0	289577	0	16000	130736	0	36208
1950	Westerwolde	1	0	8346244	0	0	123265	0	2571134	0	33218	0	136045	0	0	0	0	0	0	129390	0	3000	63031	0	19035
59	Achtkarspelen	2	0	4852779	0	0	137548	0	0	0	33532	0	0	0	0	0	0	0	0	146901	0	7000	57075	0	16245
60	Ameland	2	0	277648	0	0	5534	0	0	0	29040	0	0	0	0	0	0	0	0	22376	0	1000	7766	0	6626
1891	Dantumadiel	2	0	5042225	0	0	75643	0	0	0	31866	0	0	0	0	0	0	0	0	67613	0	2000	37579	0	11853
1940	De Fryske Marren	2	0	3134244	0	0	178109	0	0	0	37972	0	44184	0	0	0	0	0	0	307812	0	9000	110810	0	31741
72	Harlingen	2	0	1923330	0	0	84721	0	0	0	31283	0	0	0	0	0	0	0	0	283101	0	6000	28564	0	11137
74	Heerenveen	2	0	8217270	0	0	198308	0	0	0	37763	0	0	0	0	0	0	0	0	113941	0	16000	102842	0	30072
80	Leeuwarden	2	45625260	13765081	0	223410	767746	150000	0	0	51493	142644	49831	0	14147106	352035	0	223380	271040	381574	398593	32000	259045	6741205	70331
1970	Noardeast-Fryslân	2	0	10338508	0	0	200625	0	0	0	36801	0	0	0	0	0	0	0	0	52534	0	8000	105938	0	28011
85	Ooststellingwerf	2	0	2773663	0	0	111625	0	0	0	33079	0	0	0	0	0	0	0	0	78315	0	5000	53957	0	18931
86	Opsterland	2	0	3267215	0	0	110317	0	0	0	33887	0	9613	0	0	0	0	0	0	142037	0	6000	63932	0	19867
88	Schiermonnikoog	2	0	8597	0	0	2017	0	0	0	28516	0	0	0	0	0	0	0	0	12161	0	0	1730	0	4660
90	Smallingerland	2	0	10999079	0	0	306281	0	0	0	38765	0	87032	0	0	0	0	0	0	177060	0	15000	105134	0	29470
1900	Súdwest-Fryslân	2	0	15224468	0	0	415016	0	0	0	45081	0	102163	0	0	0	0	0	0	344114	0	23000	202760	0	51488
93	Terschelling	2	0	200747	0	0	7632	0	0	0	29249	0	0	0	0	0	0	0	0	10215	0	0	10921	0	6524
737	Tytsjerksteradiel	2	0	3594292	0	0	98105	0	0	0	34305	0	176393	0	0	0	0	0	0	154198	0	9000	68782	0	18507
96	Vlieland	2	0	8597	0	0	2481	0	0	0	28565	0	0	0	0	0	0	0	0	10215	0	0	2817	0	4423
1949	Waadhoeke	2	0	5642643	0	0	189722	0	0	0	36926	0	70867	0	0	0	0	0	0	230611	0	9000	101181	0	27094
98	Weststellingwerf	2	0	4636697	0	0	96088	0	0	0	33203	0	0	0	0	0	0	0	0	146901	0	7000	53804	0	19646
1680	Aa en Hunze	3	0	79978	0	0	72127	0	0	0	33067	0	0	0	0	0	0	0	0	57398	0	8000	61093	0	17250
106	Assen	3	38194655	17524368	0	0	349949	150000	0	0	41145	0	161305	0	4506767	257026	0	168872	197890	217433	0	16000	117677	0	34030
1681	Borger-Odoorn	3	0	4721720	0	0	92735	0	0	0	33104	0	0	0	0	0	0	0	0	74423	0	4000	67915	0	17237
109	Coevorden	3	0	4115533	0	0	179145	0	0	0	34911	0	43495	0	0	0	0	0	0	189220	0	18000	75109	0	24302
1690	De Wolden	3	0	963218	0	0	74826	0	0	0	32876	0	0	0	0	0	0	0	0	128903	0	7000	50385	0	18364
114	Emmen	3	15183633	24133186	0	157740	623547	150000	0	0	48247	82888	176393	0	3143078	0	0	0	0	810875	398593	25000	200954	4940130	52992
118	Hoogeveen	3	0	18468106	0	0	288508	0	0	0	38684	0	58841	0	0	0	0	0	0	177060	0	21000	102724	0	29752
119	Meppel	3	0	7277175	0	0	146108	0	0	0	34738	0	0	0	0	0	0	0	0	218893	0	9000	58288	0	19365
1731	Midden-Drenthe	3	0	141780	0	0	106037	0	0	0	34551	0	3190	0	0	0	0	0	0	122093	0	11000	69753	0	23848
1699	Noordenveld	3	0	3093964	0	0	110944	0	0	0	34148	0	3621	0	0	0	0	0	0	125985	0	6000	58187	0	19428
1730	Tynaarlo	3	0	139962	0	0	98241	0	0	0	34662	0	60306	0	0	0	0	0	0	50589	0	8000	65030	0	18484
1701	Westerveld	3	0	2842331	0	0	49011	0	0	0	31999	0	0	0	0	0	0	0	0	39887	0	3000	48526	0	15402
141	Almelo	4	14152330	11568930	0	0	496548	0	0	0	41944	296468	57418	0	2958273	0	0	0	0	256348	0	17000	133596	0	39780
147	Borne	4	0	2593959	0	0	68038	0	0	0	32745	0	0	0	0	0	0	0	0	0	0	4000	37674	0	13026
148	Dalfsen	4	0	2919194	0	0	67547	0	0	0	33718	0	0	0	0	0	0	0	0	48643	0	5000	49943	0	20472
150	Deventer	4	18768460	16846658	0	0	544305	150000	0	0	47170	235941	86645	0	3803092	0	0	0	0	258780	0	27000	173277	0	49999
1774	Dinkelland	4	0	2025725	0	0	68147	0	0	0	33291	0	0	0	0	0	0	0	0	63236	0	5000	42261	0	19281
153	Enschede	4	36456789	25195359	0	225274	1176902	404571	0	0	58049	793023	16036	0	8966291	360036	0	216359	277200	330285	398593	28000	289802	7277294	83184
158	Haaksbergen	4	0	2244104	0	0	71963	0	0	0	32849	0	0	0	0	0	0	0	0	40860	0	4000	36918	0	17055
160	Hardenberg	4	0	8827880	0	0	197327	0	0	0	39754	0	68755	0	0	0	0	0	0	261698	0	17000	113977	0	37111
163	Hellendoorn	4	0	3625706	0	0	106446	0	0	0	35025	0	0	0	0	0	0	0	0	148847	0	6000	56761	0	21063
164	Hengelo	4	0	12899206	0	0	424748	0	0	0	43416	74792	38106	0	0	0	0	0	0	231540	0	19000	130202	0	42144
1735	Hof van Twente	4	0	2628031	0	0	108190	0	0	0	34860	0	0	0	0	0	0	0	0	133768	0	7000	52413	0	25723
166	Kampen	4	0	5550941	0	0	216326	0	0	0	38474	0	8535	0	0	0	0	0	0	251483	0	13000	98711	0	28234
168	Losser	4	0	2941323	0	0	94997	0	0	0	32600	0	0	0	0	0	0	0	0	84638	0	3000	36476	0	14410
173	Oldenzaal	4	0	6360403	0	0	135204	0	0	0	34239	0	0	0	0	0	0	0	0	71505	0	5000	47741	0	17719
1773	Olst-Wijhe	4	0	2035685	0	0	58389	0	0	0	31758	0	2888	0	0	0	0	0	0	25294	0	5000	31334	0	13348
175	Ommen	4	0	2715024	0	0	66784	0	0	0	31745	0	1810	0	0	0	0	0	0	15566	0	8000	38022	0	15457
177	Raalte	4	0	4129743	0	0	113833	0	0	0	35394	0	0	0	0	0	0	0	0	125985	0	9000	62452	0	24341
1742	Rijssen-Holten	4	0	2844709	0	0	110398	0	0	0	35448	0	0	0	0	0	0	0	0	50102	0	9000	67018	0	20196
180	Staphorst	4	0	1119637	0	0	46395	0	0	0	31553	0	0	0	0	0	0	0	0	90962	0	4000	34917	0	12664
1708	Steenwijkerland	4	0	6432459	0	0	169686	0	0	0	36589	0	0	0	0	0	0	0	0	157603	0	7000	93494	0	26455
183	Tubbergen	4	0	2132672	0	0	42197	0	0	0	32307	0	0	0	0	0	0	0	0	58371	0	3000	37103	0	17561
1700	Twenterand	4	0	6336021	0	0	129343	0	0	0	34610	0	0	0	0	0	0	0	0	93394	0	6000	59489	0	18418
189	Wierden	4	0	2075567	0	0	55608	0	0	0	32906	0	0	0	0	0	0	0	0	57398	0	5000	42039	0	15915
1896	Zwartewaterland	4	0	1041325	0	0	70464	0	0	0	32588	0	0	0	0	0	0	0	0	333690	0	3000	40447	0	14510
193	Zwolle	4	68926903	13628831	0	182029	626082	150000	0	0	52490	207412	0	0	9983147	280028	0	184828	215600	400817	398593	26000	228003	6059486	64256
197	Aalten	5	0	6299631	0	0	80632	0	0	0	33387	0	0	0	0	0	0	0	0	37455	0	5000	45346	0	18220
200	Apeldoorn	5	44392921	19816922	0	209564	732664	150000	0	0	58988	75177	50478	0	4198123	413041	0	286747	318010	179492	398593	30000	269928	5597245	80680
202	Arnhem	5	68910744	27850124	0	194152	1161882	374923	494705	162500	58550	565178	100266	0	8374100	362036	0	246851	278740	226675	398593	29000	321889	7948636	79475
203	Barneveld	5	0	2583076	0	0	160282	0	0	0	39500	0	0	0	0	0	0	0	0	81720	0	12000	119996	0	36568
1945	Berg en Dal	5	0	3809745	0	0	124300	0	0	0	34854	0	4052	0	0	0	0	0	0	148847	0	5000	58315	0	17787
1859	Berkelland	5	0	5785067	0	0	132233	0	0	0	36497	0	0	0	0	0	0	0	0	173168	0	7000	74337	0	31047
209	Beuningen	5	0	2776456	0	0	73027	0	0	0	33208	0	0	0	0	0	0	0	0	129876	0	7000	40942	0	14505
1876	Bronckhorst	5	0	4155139	0	0	93116	0	0	0	35054	0	6854	0	0	0	0	0	0	128903	0	8000	62341	0	26593
213	Brummen	5	0	2015124	0	0	63949	0	0	0	32227	0	0	0	0	0	0	0	0	37941	0	4000	31265	0	13854
