CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1979	Eemsdelta	1	4379,381022	2847	2216	1389,934016	511,7482479	8317,917876	0	0	5	5579,519053	46442,40258	2772,101111	0	0	0	7931,943755	26	6627,383598	571,3696981	1261,544929	181,6007101	4413,207886	30285,71729	44802,25357	32417,23375	18840,79949	7548,17	16873,37325	3029,845474	202,7322812	241,2514147	291,0283469	354,9469731	713	8900	15	0	0	31884,86	26794	978772177	923272890,9	3876640553	1	0	0	0	24001,95342	29282,38317
14	Groningen	1	30791,84194	25791	23468	10327,06441	1779,435118	84355,72973	0	0	3	22334,03559	240402,7955	1332,141972	0	0	0	34421,22366	18	5300,025094	8547,961684	12097,49477	603,9599372	30930,22874	461427,8548	255297,0805	517574,6249	120311,5857	9099,32	454952,623	7571,416951	111,4023922	122,5426314	991,3153065	1080,206195	1276	0	0	112	0	20186,8	18520	3671406412	3582828081	29816468738	1	0	0	0	133221,8515	145211,8182
1966	Het Hogeland	1	5604,954069	1523	0	1020,319909	352,8492486	7828,628589	0	0	12	5210,938275	49136,51009	2411,493886	0	0	0	9034,359764	41	5493,008066	0	921,1526588	104,5579846	1933,795087	5697,513193	44711,3358	7293,625045	10947,27472	10808,07	9955,559167	1110,949316	277,0005427	307,4706024	319,3227695	360,7253675	2035	10000	0	0	0	53026,92	47772	1235318546	1235318546	4453868063	1	0	0	0	23647,40895	26721,57211
1952	Midden-Groningen	1	6378,426837	3173	0	1708,680767	592,3661226	10322,26015	0	0	9	7127,275497	62311,34046	2811,94516	0	0	0	10782,88039	23	8528,285894	568,1225831	1161,520777	202,2371544	5764,66099	38468,31603	57803,49378	42054,51671	17604,14849	8420	26019,24578	3623,392124	172,6235266	172,6235266	401,174492	401,0529039	1792	0	0	0	0	27785	27785	832489290,6	775887369,7	5538958768	1	0	0	0	29736,2809	29736,2809
1895	Oldambt	1	3916,38676	3452	2903	1287,20838	446,3192482	7194,70662	0	0	6	5135,888804	39415,00782	2293,535391	0	0	0	6426,721897	22	6654,209032	1236,946574	1415,845753	160,9642657	1783,750215	23163,8258	40003,81604	27719,81596	12442,74749	6152,76	16155,09646	2234,974364	132,4785204	144,4015872	268,7970148	276,7770141	1399	5546	10	0	0	24463,08	22651	522648905,6	468252254,4	3519147549	1	0	0	0	19347,42091	19927,84354
765	Pekela	1	991,3524204	2102	0	380,844563	182,2664993	1943,822219	0	0	1	1736,743738	12479,04871	581,6400682	0	0	0	2201,803402	4	2382,659062	0	170,5838257	31,64254796	453,2824077	6323,835565	12475,93758	8414,944131	3544,614343	1459	3125,847868	905,541802	23,08337856	23,08337856	98,01996405	97,99025611	118	0	0	0	0	4902	4902	89313420,58	78287072,36	885243870	1	0	0	0	5864,630146	5864,630146
37	Stadskanaal	1	3317,217715	3442	0	861,7723025	431,1303732	5419,109649	0	127,7680975	3	4397,515143	32590,2083	2348,394724	0	0	0	5567,60466	13	5690,29512	1315,469574	1525,174478	195,3583396	1475,266355	22870,86856	35286,1943	29144,19426	8690,981492	3273	13120,93319	1899,19791	66,2392602	66,2392602	218,2712602	218,2051064	219	0	0	0	0	11776	11776	339979070,1	299549126,6	2835690775	1	0	0	0	15620,15856	15620,15856
47	Veendam	1	2652,684773	3654	0	833,3658563	387,9004984	4634,400415	0	0	1	3428,639609	28103,4398	1330,000054	0	0	0	4987,12004	6	4207,389137	962,6981044	1447,636375	64,66085888	2339,860577	25659,01332	30295,81927	29235,11202	11467,43899	3285	13346,0962	1942,707336	59,21388412	59,21388412	190,9873526	190,9294681	272	0	0	0	0	7596	7596	359826496,9	344757154,3	2199770384	1	0	0	0	13187,84209	13187,84209
1969	Westerkwartier	1	8192,274947	0	0	910,6578144	396,0791234	8072,760351	0	0	11	5126,393985	65798,43443	2514,17482	0	0	0	13439,98565	39	5294,41978	0	1553,863576	101,8064587	2297,889983	19264,46393	59591,54313	23386,06922	15165,8746	8319,24	13810,09491	790,798014	273,9896672	298,6487373	396,1219166	411,8419341	627	0	0	0	0	39160,8	36260	926213250,4	827711206,3	6778300186	1	0	0	0	28533,25394	29674,5841
1950	Westerwolde	1	3072,103105	0	0	475,3125118	223,1596241	3772,758904	0	0	6	2886,525869	27187,66835	1576,648489	0	0	0	4786,221884	29	4196,879172	0	866,875987	74,29119957	2647,295173	7020,871754	25285,24029	11041,4573	5801,784714	6072	3613,953581	1965,73178	149,540148	149,540148	177,8506564	177,7967534	496	0	0	0	0	27569	27569	429292490,7	373793204,6	2569875081	1	0	0	0	12548,44993	12548,44993
59	Achtkarspelen	2	3398,922584	0	0	594,8838316	236,011749	3863,026109	0	0	5	3095,411879	28602,76547	901,3104288	0	0	0	5912,866816	13	4478,846513	0	1054,518195	75,66696252	671,5294929	7728,009916	28174,40478	11283,90467	6823,163301	2436	5441,176779	1411,830592	76,27551175	76,27551175	196,0399281	195,9805122	186	0	0	0	0	10212	10212	311678109,7	279334154,9	2616926399	1	0	0	0	12479,76326	12479,76326
60	Ameland	2	729,896837	0	0	8,587995348	29,20937488	697,5193188	0	0	4	221,2090721	3844,19367	223,5681744	2558,020808	0	1286,172862	688,5052362	4	294,5792984	0	120,184059	16,50915546	74,49780312	70,71381622	3788,240155	697,0361885	691,3463303	1043	1019,845647	14,26081448	10,03625155	10,03625155	48,50472448	48,49002364	90	10000	0	0	0	5578	5578	96296774,45	96296774,45	1398442782	1	0	0	0	3848,47414	3848,47414
1891	Dantumadiel	2	2042,621745	573	0	417,5086969	176,4246243	2456,704071	0	0	3	2179,969952	19396,96018	930,6197378	0	0	0	3803,940953	8	3047,189121	879,7230854	0	103,1822216	534,0757998	3838,750024	18860,38498	6465,263198	5546,541414	2561	3894,377043	683,5431453	48,17400742	48,17400742	117,2197508	117,1842238	297	0	0	0	0	8456	8456	190020734,3	163557498,6	1896604675	1	0	0	0	8503,006644	8503,006644
1940	De Fryske Marren	2	7925,372372	1818	0	718,7491492	262,8843739	7247,020569	0	0	10	4399,232291	52794,47985	2849,166453	0	0	0	9922,753617	43	5895,89005	0	930,4572311	101,8064587	1967,371561	16779,37839	49499,67136	32508,15152	17615,23752	14274	14317,11067	1210,775017	214,7757831	214,7757831	353,6802827	353,5730891	6715	10000	5	0	0	35101	35101	773314555,1	679223050,3	6685167680	1	0	0	0	25703,96888	25703,96888
