Naam 	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
Eemsdelta	1	0	9614222	315018	0	0	0	36821	68735	0	0	0	0	0	0	0	0	7062	0	0	429516	0	0	95382	0	29912
Groningen	1	78449682	29851350	1305638	473748	449767	0	71726	52520	0	20000	17593234	2512945	345035	136659	0	201876	7062	30000	265650	418815	7213	400077	410493	7726135	146199
Het Hogeland	1	0	7988330	199091	0	0	0	37239	87669	0	0	0	0	0	0	397208	0	7062	0	0	371479	0	0	108432	0	32379
Midden-Groningen	1	0	11751019	364523	0	0	0	39637	2346	0	0	0	0	0	0	0	0	7062	0	0	614845	0	0	116082	0	33946
Oldambt	1	0	13134803	236778	0	0	0	35462	38175	0	0	0	0	0	0	0	0	7062	0	0	183383	0	0	81641	0	24274
Pekela	1	0	4954718	89798	0	0	0	30607	0	0	0	0	0	0	0	0	0	7062	0	0	52534	0	0	23878	0	9212
Stadskanaal	1	0	18436269	174730	0	0	0	34248	49732	0	0	0	0	0	0	0	0	7062	0	0	184356	0	0	60237	0	18623
Veendam	1	0	9815471	173803	0	0	0	33442	68	0	0	0	0	0	0	0	0	7062	0	0	228135	0	0	49962	0	16822
Westerkwartier	1	0	8712907	218413	0	0	0	40186	0	0	0	0	0	0	0	0	0	7062	0	0	289577	0	0	130023	0	36208
Westerwolde	1	0	8992916	123255	0	0	2731401	33218	174352	0	0	0	0	0	0	0	0	7062	0	0	129390	0	0	62189	0	19035
Achtkarspelen	2	0	5072510	128788	0	0	0	33532	578	0	0	0	0	0	0	0	0	7062	0	0	146901	0	0	56900	0	16245
Ameland	2	0	291689	5880	0	0	0	29040	0	0	0	0	0	0	0	0	0	7062	0	0	22376	0	0	7718	0	6626
Dantumadiel	2	0	5486361	67783	0	0	0	31866	0	0	0	0	0	0	0	0	0	7062	0	0	67613	0	0	37448	0	11853
De Fryske Marren	2	0	3314472	162969	0	0	0	37972	43920	0	0	0	0	0	0	0	0	7062	0	0	307812	0	0	110888	0	31741
Harlingen	2	0	2138991	85250	0	0	0	31283	0	0	0	0	0	0	0	0	0	7062	0	0	283101	0	0	28071	0	11137
Heerenveen	2	0	8780985	208564	0	0	0	37763	1700	0	0	0	0	0	0	0	0	7062	0	0	113941	0	0	102574	0	30072
Leeuwarden	2	48137632	14573473	781071	150000	355328	0	51493	67239	0	20000	14758097	2107986	352035	136659	493820	223380	7062	30000	271040	381574	0	400077	258187	6916307	70331
Noardeast-Fryslân	2	0	10930068	195065	0	0	0	36801	2176	0	0	0	0	0	0	0	0	7062	0	0	52534	0	0	104483	0	28011
Ooststellingwerf	2	0	2850952	115985	0	0	0	33079	0	0	0	0	0	0	0	0	0	7062	0	0	78315	0	0	53890	0	18931
Opsterland	2	0	3515545	110307	0	0	0	33887	7581	0	0	0	0	0	0	0	0	7062	0	0	142037	0	0	63208	0	19867
Schiermonnikoog	2	0	11296	1332	0	0	0	28516	0	0	0	0	0	0	0	0	0	7062	0	0	12161	0	0	1685	0	4660
Smallingerland	2	0	11771520	307197	0	0	0	38765	107249	0	0	0	0	0	0	0	0	7062	0	0	177060	0	0	104291	0	29470
Súdwest-Fryslân	2	0	15888508	421038	0	0	0	45081	65675	0	20000	0	0	0	0	0	0	7062	0	0	344114	0	0	200509	0	51488
Terschelling	2	0	224707	7097	0	0	0	29249	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	10699	0	6524
Tytsjerksteradiel	2	0	3632172	104282	0	0	0	34305	139679	0	0	0	0	0	0	0	0	7062	0	0	154198	0	0	69581	0	18507
Vlieland	2	0	11296	2404	0	0	0	28565	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	2804	0	4423
Waadhoeke	2	0	5869442	187128	0	0	0	36926	55715	0	0	0	0	0	0	0	0	7062	0	0	230611	0	0	100762	0	27094
Weststellingwerf	2	0	4935710	97272	0	0	0	33203	0	0	0	0	0	0	0	0	0	7062	0	0	146901	0	0	54431	0	19646
Aa en Hunze	3	0	112902	73635	0	0	0	33067	11796	0	0	0	0	0	0	0	0	7062	0	0	57398	0	0	60895	0	17250
Assen	3	40294011	18719105	362466	150000	0	0	41145	99363	0	20000	4623130	660349	257026	0	0	168872	7062	30000	197890	217433	0	0	117583	0	34030
Borger-Odoorn	3	0	5065253	84323	0	0	0	33104	1768	0	0	0	0	0	0	0	0	7062	0	0	74423	0	0	66636	0	17237
Coevorden	3	0	4480659	169632	0	0	0	34911	32328	0	0	0	0	0	0	0	0	7062	0	0	189220	0	0	74072	0	24302
De Wolden	3	0	1008712	70999	0	0	0	32876	9654	0	0	0	0	0	0	0	0	7062	0	0	128903	0	0	50026	0	18364
Emmen	3	16020826	24909118	597709	150000	476125	0	48247	148211	0	20000	3200999	457217	0	136659	0	0	7062	0	0	810875	0	400077	199059	5051529	52992
Hoogeveen	3	0	19288312	282488	0	0	0	38684	34571	0	0	0	0	0	0	0	0	7062	0	0	177060	0	0	101966	0	29752
Meppel	3	0	7699017	143619	0	0	0	34738	0	0	0	0	0	0	0	0	0	7062	0	0	218893	0	0	57894	0	19365
Midden-Drenthe	3	0	200145	90812	0	0	0	34551	4793	0	0	0	0	0	0	0	0	7062	0	0	122093	0	0	70744	0	23848
Noordenveld	3	0	3195291	117896	0	0	0	34148	13767	0	0	0	0	0	0	0	0	7062	0	0	125985	0	0	57614	0	19428
Tynaarlo	3	0	197579	90609	0	0	0	34662	42322	0	0	0	0	0	0	0	0	7062	0	0	50589	0	0	68166	0	18484
Westerveld	3	0	3011501	53879	0	0	0	31999	16317	0	0	0	0	0	0	0	0	7062	0	0	39887	0	0	47689	0	15402
Almelo	4	14932660	11899414	488821	0	343916	0	41944	39160	0	0	3018261	431116	0	0	0	0	7062	30000	0	256348	2404	0	132381	0	39780
Borne	4	0	2707212	63873	0	0	0	32745	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	38198	0	13026
Dalfsen	4	0	3105959	61526	0	0	0	33718	2516	0	0	0	0	0	0	0	0	7062	0	0	48643	0	0	49938	0	20472
Deventer	4	19803313	17892575	550376	150000	327498	0	47170	50990	0	20000	3845636	549295	0	0	0	0	7062	0	0	258780	0	0	173806	0	49999
Dinkelland	4	0	2081673	56776	0	0	0	33291	0	0	0	0	0	0	0	0	0	7062	0	0	63236	0	0	42021	0	19281
Enschede	4	38466939	26464149	1138265	404571	400083	0	58049	12340	0	20000	9038842	1291071	360036	136659	0	216359	7062	30000	277200	330285	6412	400077	285440	7280950	83184
Haaksbergen	4	0	2366921	80963	0	0	0	32849	918	0	0	0	0	0	0	0	0	7062	0	0	40860	0	0	36443	0	17055
Hardenberg	4	0	9284663	181045	0	0	0	39754	51602	0	0	0	0	0	0	0	0	7062	0	0	261698	0	0	115711	0	37111
Hellendoorn	4	0	3763702	97938	0	0	0	35025	3739	0	0	0	0	0	0	0	0	7062	0	0	148847	0	0	56411	0	21063
Hengelo	4	0	13501310	385235	0	361198	0	43416	42798	0	20000	0	0	0	0	0	0	7062	30000	0	231540	0	0	129634	0	42144
Hof van Twente	4	0	2804021	98778	0	0	0	34860	10402	0	0	0	0	0	0	0	0	7062	0	0	133768	0	0	52254	0	25723
Kampen	4	0	5772132	197904	0	0	0	38474	11184	0	0	0	0	0	0	0	0	7062	0	0	251483	0	0	99659	0	28234
Losser	4	0	3149374	85511	0	0	0	32600	0	0	0	0	0	0	0	0	0	7062	0	0	84638	0	0	36565	0	14410
Oldenzaal	4	0	6700949	119924	0	0	0	34239	0	0	0	0	0	0	0	0	0	7062	0	0	71505	0	0	46795	0	17719
Olst-Wijhe	4	0	2079785	51620	0	0	0	31758	14889	0	0	0	0	0	0	0	0	7062	0	0	25294	0	0	31070	0	13348
Ommen	4	0	2937292	68942	0	0	0	31745	15093	0	0	0	0	0	0	0	0	7062	0	0	15566	0	0	38689	0	15457
Raalte	4	0	4282903	102834	0	0	0	35394	272	0	0	0	0	0	0	0	0	7062	0	0	125985	0	0	62461	0	24341
Rijssen-Holten	4	0	2920824	118592	0	0	0	35448	2040	0	0	0	0	0	0	0	0	7062	0	0	50102	0	0	65626	0	20196
Staphorst	4	0	1202066	37310	0	0	0	31553	0	0	0	0	0	0	0	0	0	7062	0	0	90962	0	0	35249	0	12664
Steenwijkerland	4	0	6751830	175773	0	0	0	36589	0	0	0	0	0	0	0	0	0	7062	0	0	157603	0	0	94208	0	26455
Tubbergen	4	0	2279074	41365	0	0	0	32307	0	0	0	0	0	0	0	0	0	7062	0	0	58371	0	0	36418	0	17561
Twenterand	4	0	6511292	121344	0	0	0	34610	1156	0	0	0	0	0	0	0	0	7062	0	0	93394	0	0	58347	0	18418
Wierden	4	0	2165142	46347	0	0	0	32906	18220	0	0	0	0	0	0	0	0	7062	0	0	57398	0	0	41859	0	15915
Zwartewaterland	4	0	1062413	57355	0	0	0	32588	0	0	0	0	0	0	0	0	0	7062	0	0	333690	0	0	40327	0	14510
Zwolle	4	72661221	14123128	645099	150000	295526	0	52490	16827	0	20000	10665180	1523370	280028	136659	0	184828	7062	0	215600	400817	0	400077	230194	6129230	64256
Aalten	5	0	6573910	81253	0	0	0	33387	0	0	0	0	0	0	0	0	0	7062	0	0	37455	0	0	44984	0	18220
Apeldoorn	5	46817495	21215937	703903	150000	0	0	58988	40112	0	20000	4230876	604321	413041	136659	0	286747	7062	0	318010	179492	0	400077	272355	5645666	80680
Arnhem	5	72621013	29657169	1164046	374923	309352	507363	58550	143758	0	20000	8477724	1210923	362036	136659	0	246851	7062	30000	278740	226675	0	400077	320023	8032239	79475
Barneveld	5	0	2755524	180060	0	0	0	39500	0	0	0	0	0	0	0	0	0	7062	0	0	81720	0	0	121345	0	36568
Berg en Dal	5	0	3701596	136262	0	0	0	34854	28181	0	0	0	0	0	0	0	0	7062	0	0	148847	0	0	58683	0	17787
Berkelland	5	0	6000862	130352	0	0	0	36497	2719	0	0	0	0	0	0	0	0	7062	0	0	173168	0	0	74353	0	31047
Beuningen	5	0	2949014	81687	0	0	0	33208	0	0	0	0	0	0	0	0	0	7062	0	0	129876	0	0	41275	0	14505
Bronckhorst	5	0	4312957	76908	0	0	0	35054	8532	0	0	0	0	0	0	0	0	7062	0	0	128903	0	0	61412	0	26593
Brummen	5	0	2120522	63033	0	0	0	32227	0	0	0	0	0	0	0	297737	0	7062	0	0	37941	0	0	31328	0	13854
Buren	5	0	1997966	76647	0	0	0	33366	0	0	0	0	0	0	0	0	0	7062	0	0	158576	0	0	51941	0	16999
Culemborg	5	0	3673760	102486	0	0	0	33759	10402	0	0	0	0	0	0	281176	0	7062	0	0	68586	0	0	45039	0	15848
Doesburg	5	0	1508289	64017	0	0	0	30401	0	0	0	0	0	0	0	0	0	7062	0	0	20430	0	0	16301	0	7938
Doetinchem	5	30197097	8549729	276781	0	0	0	39180	30900	0	0	3913503	558989	0	136659	303978	0	7062	0	0	143983	0	400077	92958	0	29616
Druten	5	0	2182063	63033	0	0	0	31875	0	0	0	0	0	0	0	0	0	7062	0	0	152738	0	0	29545	0	11922
Duiven	5	0	1860681	83425	0	0	0	33005	37665	0	0	0	0	0	0	0	0	7062	0	0	63236	0	0	39200	0	14866
Ede	5	25603815	8653953	411131	150000	0	0	50387	11116	0	20000	3631978	518777	0	136659	0	0	7062	0	0	314719	0	400077	207757	3063940	61977
Elburg	5	0	3442186	86902	0	0	0	32700	0	0	0	0	0	0	0	0	0	7062	0	0	27240	0	0	40531	0	12895
Epe	5	0	4093237	108975	0	0	0	34517	0	0	0	0	0	0	0	0	0	7062	0	0	72964	0	0	54831	0	20088
