CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
1979	Eemsdelta	1	0	9379493	0	1979	0	339782	0	0	0	0	36821	0	110827	0	0	0	0	0	0	0	7062	0	0	429516	0	0	23000	97143	0	29912
14	Groningen	1	74156306	29170752	0	14	249703	1317312	473748	595530	0	185000	71726	553998	32330	0	20000	17593234	345035	0	0	201876	7062	30000	265650	418815	7213,37	400077	59000	415754	7725574	146199
1966	Het Hogeland	1	0	7796181	0	1966	0	215890	0	0	0	0	37239	0	91300	0	0	0	0	397208	0	0	7062	0	0	371479	0	0	13000	109116	0	32379
1952	Midden-Groningen	1	0	11358333	0	1952	0	379171	0	0	0	0	39637	0	11035	0	0	0	0	0	0	0	7062	0	0	614845	0	0	35000	115173	0	33946
1895	Oldambt	1	0	13030065	0	1895	0	245057	0	0	0	0	35462	0	16553	0	0	0	0	0	0	0	7062	0	0	183383	0	0	16000	82042	0	24274
765	Pekela	1	0	4953644	0	765	0	102466	0	0	0	0	30607	0	0	0	0	0	0	0	0	0	7062	0	0	52534	0	0	2000	24325	0	9212
37	Stadskanaal	1	0	17697239	0	37	0	173366	0	0	0	0	34248	0	74100	0	0	0	0	0	0	0	7062	0	0	184356	0	0	6000	60954	0	18623
47	Veendam	1	0	9303753	0	47	0	184324	0	0	0	0	33442	0	0	0	0	0	0	0	0	0	7062	0	0	228135	0	0	9000	50786	0	16822
1969	Westerkwartier	1	0	8329353	0	1969	0	205532	0	0	0	0	40186	0	0	0	0	0	0	0	0	0	7062	0	0	289577	0	0	16000	130736	0	36208
1950	Westerwolde	1	0	8463312	0	1950	0	123265	0	0	2571134	0	33218	0	136045	0	0	0	0	0	0	0	7062	0	0	129390	0	0	3000	63031	0	19035
59	Achtkarspelen	2	0	4920673	0	59	0	137548	0	0	0	0	33532	0	0	0	0	0	0	0	0	0	7062	0	0	146901	0	0	7000	57075	0	16245
60	Ameland	2	0	281497	0	60	0	5534	0	0	0	0	29040	0	0	0	0	0	0	0	0	0	7062	0	0	22376	0	0	1000	7766	0	6626
1891	Dantumadiel	2	0	5113350	0	1891	0	75643	0	0	0	0	31866	0	0	0	0	0	0	0	0	0	7062	0	0	67613	0	0	2000	37579	0	11853
1940	De Fryske Marren	2	0	3177498	0	1940	0	178109	0	0	0	0	37972	0	44184	0	0	0	0	0	0	0	7062	0	0	307812	0	0	9000	110810	0	31741
72	Harlingen	2	0	1949728	0	72	0	84721	0	0	0	0	31283	0	0	0	0	0	0	0	0	0	7062	0	0	283101	0	0	6000	28564	0	11137
74	Heerenveen	2	0	8332805	0	74	0	198308	0	0	0	0	37763	0	0	0	0	0	0	0	0	0	7062	0	0	113941	0	0	16000	102842	0	30072
80	Leeuwarden	2	45506450	13951926	0	80	220610	767746	150000	499676	0	0	51493	142644	49831	0	0	14758097	352035	493820	0	223380	7062	0	271040	381574	0	400077	32000	259045	6922398	70331
1970	Noardeast-Fryslân	2	0	10483975	0	1970	0	200625	0	0	0	0	36801	0	0	0	0	0	0	0	0	0	7062	0	0	52534	0	0	8000	105938	0	28011
85	Ooststellingwerf	2	0	2811915	0	85	0	111625	0	0	0	0	33079	0	0	0	0	0	0	0	0	0	7062	0	0	78315	0	0	5000	53957	0	18931
86	Opsterland	2	0	3312190	0	86	0	110317	0	0	0	0	33887	0	9613	0	0	0	0	0	0	0	7062	0	0	142037	0	0	6000	63932	0	19867
88	Schiermonnikoog	2	0	8597	0	88	0	2017	0	0	0	0	28516	0	0	0	0	0	0	0	0	0	7062	0	0	12161	0	0	0	1730	0	4660
90	Smallingerland	2	0	11150772	0	90	0	306281	0	0	0	0	38765	0	87032	0	0	0	0	0	0	0	7062	0	0	177060	0	0	15000	105134	0	29470
1900	Súdwest-Fryslân	2	0	15438459	0	1900	0	415016	0	0	0	0	45081	0	102163	0	0	0	0	0	0	0	7062	0	0	344114	0	0	23000	202760	0	51488
93	Terschelling	2	0	203496	0	93	0	7632	0	0	0	0	29249	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	0	10921	0	6524
737	Tytsjerksteradiel	2	0	3644233	0	737	0	98105	0	0	0	0	34305	0	176393	0	0	0	0	0	0	0	7062	0	0	154198	0	0	9000	68782	0	18507
96	Vlieland	2	0	8597	0	96	0	2481	0	0	0	0	28565	0	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	0	2817	0	4423
1949	Waadhoeke	2	0	5720745	0	1949	0	189722	0	0	0	0	36926	0	70867	0	0	0	0	0	0	0	7062	0	0	230611	0	0	9000	101181	0	27094
