CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1979	Eemsdelta	1	4319,244909	2847	2216	1387,535653	508,655494	8110,737749	0	0	5	5579,923088	45872,19788	2858,123857	0	0	0	7777,877094	27	6599,735163	632,0287196	1317,85564	152,4087208	4328,640454	30174,55674	45009,20152	32428,04842	18842,87497	7548,17	17038,97926	3259,419749	202,7322812	241,2514147	291,0283469	354,9469731	713	8900	15	0	0	31884,86	26794	982899840,4	903215003,8	3964318856	1	0	0	0	23998,56233	29278,24604
14	Groningen	1	30691,86072	25791	23468	10272,56887	1833,697768	83175,91454	0	0	3	22362,21702	240655,7322	1728,589008	0	0	0	34525,20485	18	4959,62033	8318,571886	12511,28772	610,7983086	31296,69374	465199,5042	257565,0041	523234,494	121948,6835	9099,32	455597,8237	7175,892999	111,4023922	122,5426314	991,3153065	1080,206195	1276	0	0	112	0	20186,8	18520	3733649247	3621874137	30122082260	1	0	0	0	132943,6311	144908,5579
1966	Het Hogeland	1	5575,083757	1523	0	1011,360783	358,4910862	7678,297923	0	0	12	5215,382658	48806,78974	2566,160488	0	0	0	9030,102231	41	5442,992166	0	988,1931384	80,27634913	2149,241359	5921,731497	45676,15421	7609,32392	11010,19272	10808,07	9937,116968	1313,34912	277,0005427	307,4706024	319,3227695	360,7253675	2035	10000	0	0	0	53026,92	47772	1218709267	1218709267	4543965772	1	0	0	0	23603,60325	26672,07167
1952	Midden-Groningen	1	6310,721576	3173	0	1697,229925	579,5077146	10326,74276	0	0	9	7127,982558	62202,43355	2941,887256	0	0	0	10867,7049	23	8427,955307	440,1768695	1115,291934	183,8212053	5791,290677	38996,52192	58661,52106	42755,70984	17793,78233	8420	25924,57272	3605,283043	172,6235266	172,6235266	401,174492	401,0529039	1792	0	0	0	0	27785	27785	863913432,7	805862488,4	5569686984	1	0	0	0	29730,01459	29730,01459
1895	Oldambt	1	3909,389553	3452	2903	1278,599624	461,0681817	7233,901236	0	0	6	5134,979726	39455,30454	2359,085697	0	0	0	6433,118052	22	6574,81395	1189,759108	1519,624979	130,3036392	1892,900598	23525,24049	40572,95557	28244,43607	12611,6828	6152,76	16279,26688	2408,009486	132,4785204	144,4015872	268,7970148	276,7770141	1399	5546	10	0	0	24463,08	22651	534717704,8	500464042	3764167983	1	0	0	0	19357,03552	19937,74659
765	Pekela	1	966,8382764	2102	0	380,7824362	173,429316	1958,932483	0	0	1	1737,147773	12534,66851	586,3021193	0	0	0	2258,028459	4	2352,163715	0	226,3947303	39,55646189	487,5500743	6507,841441	12702,41722	8670,385025	3605,066932	1459	3129,639604	930,2798186	23,08337856	23,08337856	98,01996405	97,99025611	118	0	0	0	0	4902	4902	91222912,56	80766531,27	885906879,9	1	0	0	0	5860,748323	5860,748323
37	Stadskanaal	1	3226,297292	3442	0	861,9439935	420,8833401	5407,490635	0	208,2116458	3	4395,191943	32473,52247	2332,560621	0	0	0	5542,982111	13	5638,673526	1286,952511	1589,529317	190,8017574	1534,023533	23060,39467	35601,12639	29477,28802	8768,474781	3273	13140,80382	1997,337336	66,2392602	66,2392602	218,2712602	218,2051064	219	0	0	0	0	11776	11776	341454933,6	298187148,9	2882422244	1	0	0	0	15643,81408	15643,81408
47	Veendam	1	2627,277925	3654	0	829,69103	377,5260111	4558,553465	0	0	1	3428,639609	27906,91758	1431,520655	0	0	0	4957,604578	6	4175,200247	946,8862546	1470,374195	76,78607308	2280,930142	25889,89095	30437,29568	29517,70939	11530,06609	3285	13359,6455	1793,347499	59,21388412	59,21388412	190,9873526	190,9294681	272	0	0	0	0	7596	7596	326671773,8	313691438,4	2255338323	1	0	0	0	13188,19891	13188,19891
1969	Westerkwartier	1	8102,525121	0	0	904,7285368	413,4808693	8108,744939	0	0	11	5131,040386	65630,16618	2697,556506	0	0	0	13387,24222	39	5208,932139	0	1571,258865	123,3230871	2390,503251	19432,57623	60096,47989	23585,87255	15316,81168	8319,24	13873,44181	833,1213816	273,9896672	298,6487373	396,1219166	411,8419341	627	0	0	0	0	39160,8	36260	915474209,4	821366777,9	6859640637	1	0	0	0	28487,56019	29627,06259
1950	Westerwolde	1	3073,915172	0	0	474,9084317	224,1891158	3704,634269	0	0	6	2884,303678	26816,55098	1692,749942	0	0	0	4711,182763	29	4183,07535	0	876,9816919	61,66154354	2383,466446	6861,528475	25273,46497	10913,77136	5794,360805	6072	3620,451518	1634,3519	149,540148	149,540148	177,8506564	177,7967534	496	0	0	0	0	27569	27569	436644059,7	382919893,8	2554108233	1	0	0	0	12571,01222	12571,01222
59	Achtkarspelen	2	3389,188523	0	0	596,0216007	237,9365616	3827,1921	0	0	5	3095,714905	28445,53241	966,8838312	0	0	0	5836,676682	13	4441,059741	0	1104,17079	77,94949843	663,4702042	7669,955984	28416,22691	11247,24771	6870,759954	2436	5452,479827	1413,479251	76,27551175	76,27551175	196,0399281	195,9805122	186	0	0	0	0	10212	10212	315133697,9	282682859,5	2557853260	1	0	0	0	12477,07054	12477,07054
60	Ameland	2	709,3650398	0	0	8,556908679	28,5523874	767,2319493	0	0	4	221,1080634	3880,452039	226,7029305	2526,335963	0	1354,116076	685,9578661	4	285,0986703	0	115,1832838	15,12452955	75,39434139	80,84275081	3880,452039	717,4794135	669,0811894	1043	1023,990513	0	10,03625155	10,03625155	48,50472448	48,49002364	78	10000	0	0	0	5908	5908	96631385,63	96631385,63	1288705311	1	0	0	0	3849,588393	3849,588393
