CBS	Naam	Prov	herindeling	suppletie bommenregeling	Suppletie nieuwe verdeling GF	suppletie-uitkering ingroeipad decentralisatie-uitkering maatschappelijke opvang	ART.12	Beschermd wonen	Participatie	100 jaar vriendschap Turkije-Nederland	aanpak laaggeletterdheid	aanpak recreatieparken	alleenverdieners	armoedebestrijding kinderen	bed, bad en brood	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	landelijke aanpak adreskwaliteit	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	Nederlands-Soedanese repatrianten	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet betaalbare huur	Wet kwaliteitsborging bouw	work in Nederland
1979	Eemsdelta	1	1824865,57	830296	0	0	0	0	10511993	0	0	0	76780	339782	0	0	0	0	0	0	0	1360	0	0	36821	0	6372	0	68735	0	3454	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	283379	7062	0	0	429516	0	0	23000	95382	0	0	32284	29912	0
14	Groningen	1	0	0	-35479988	0	0	78362672	32127108	0	249703	0	156280	1317312	0	473748	595530	629000	449767	0	0	27184	12389	185000	71726	0	33426	553998	52520	0	132355	20000	7110	17696027	2512945	0	0	345035	136659	0	0	0	370500	201876	0	703492	7062	30000	265650	418815	7213	400077	59000	410493	7713125	35000	207575	146199	0
1966	Het Hogeland	1	0	0	3805929	0	0	0	8590298	0	0	0	57280	215890	0	0	0	0	0	0	0	11214	0	0	37239	398860	6779	0	87669	0	3908	0	11850	0	0	0	0	0	0	397208	0	0	0	0	0	400009	7062	0	0	371479	0	0	13000	108432	0	0	28528	32379	0
1952	Midden-Groningen	1	0	0	3556427	0	0	0	12342859	0	0	0	99280	379171	0	0	0	0	0	0	0	9515	0	0	39637	0	8640	0	2346	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327426	7062	0	0	614845	0	0	35000	116082	0	0	30826	33946	0
1895	Oldambt	1	0	0	220463	0	0	0	14375671	0	0	0	82780	245057	0	0	0	0	0	0	0	680	0	0	35462	0	5480	0	38175	0	3408	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	245950	7062	0	0	183383	0	0	16000	81641	0	0	27960	24274	0
765	Pekela	1	0	0	641455	0	0	0	5388589	0	0	0	51280	102466	0	0	0	0	0	0	0	1020	0	0	30607	0	1741	0	0	0	2182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87333	7062	0	0	52534	0	0	2000	23878	0	0	21924	9212	0
37	Stadskanaal	1	0	0	0	0	0	0	19680777	0	0	0	115780	173366	0	0	0	0	0	0	0	4078	0	0	34248	131698	4510	0	49732	0	3317	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	171442	7062	0	0	184356	0	0	6000	60237	0	0	25376	18623	0
47	Veendam	1	0	0	516443	0	0	0	10298624	0	0	0	57280	184324	0	0	0	0	0	0	0	3398	0	0	33442	0	3876	0	68	0	2409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138325	7062	0	0	228135	0	0	9000	49962	0	0	25620	16822	0
1969	Westerkwartier	1	0	0	4797365	0	0	0	9303752	0	0	0	24280	205532	0	0	0	0	0	0	0	5437	0	0	40186	0	9116	0	0	0	3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380646	7062	0	0	289577	0	0	16000	130023	0	0	29383	36208	0
1950	Westerwolde	1	0	0	0	0	0	0	9576967	0	0	0	28780	123265	0	0	0	0	0	2731401	0	1699	0	0	33218	1227506	3725	0	174352	0	2182	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	241911	7062	0	0	129390	0	0	3000	62189	0	0	24226	19035	0
