CBS	Naam	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	openbare bibliotheken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	 Wet betaalbare huur 	Wet kwaliteitsborging bouw
1979	Eemsdelta	1	0	9708193	315.018	 - 	 - 	 - 	36.821	68.735	 - 	 - 	 - 	 - 	133.063	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	429.516	 - 	 - 	95.382	 - 	48.162	29.912
14	Groningen	1	78904396	30159432	1.305.638	473.748	449.767	 - 	71.726	52.520	 - 	20.000	17.696.027	2.512.945	719.116	345.035	136.659	 - 	370.500	201.876	7.062	30.000	265.650	418.815	7.213	400.077	410.493	7.713.583	428.750	146.199
1966	Het Hogeland	1	0	8068767	199.091	 - 	 - 	 - 	37.239	87.669	 - 	 - 	 - 	 - 	142.261	 - 	 - 	397.208	 - 	 - 	7.062	 - 	 - 	371.479	 - 	 - 	108.432	 - 	39.025	32.379
1952	Midden-Groningen	1	0	11861355	364.523	 - 	 - 	 - 	39.637	2.346	 - 	 - 	 - 	 - 	181.227	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	614.845	 - 	 - 	116.082	 - 	44.615	33.946
1895	Oldambt	1	0	13250507	236.778	 - 	 - 	 - 	35.462	38.175	 - 	 - 	 - 	 - 	116.245	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	183.383	 - 	 - 	81.641	 - 	37.645	24.274
765	Pekela	1	0	4998231	89.798	 - 	 - 	 - 	30.607	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	52.534	 - 	 - 	23.878	 - 	22.961	9.212
37	Stadskanaal	1	0	18596780	174.730	 - 	 - 	 - 	34.248	49.732	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	184.356	 - 	 - 	60.237	 - 	31.357	18.623
47	Veendam	1	0	9905729	173.803	 - 	 - 	 - 	33.442	68	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	228.135	 - 	 - 	49.962	 - 	31.952	16.822
1969	Westerkwartier	1	0	8792127	218.413	 - 	 - 	 - 	40.186	 - 	 - 	 - 	 - 	 - 	191.443	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	289.577	 - 	 - 	130.023	 - 	41.106	36.208
1950	Westerwolde	1	0	9069112	123.255	 - 	 - 	2.731.401	33.218	174.352	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	129.390	 - 	 - 	62.189	 - 	28.560	19.035
59	Achtkarspelen	2	0	5116364	128.788	 - 	 - 	 - 	33.532	578	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	146.901	 - 	 - 	56.900	 - 	23.861	16.245
60	Ameland	2	0	293767	5.880	 - 	 - 	 - 	29.040	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	22.376	 - 	 - 	7.718	 - 	22.740	6.626
1891	Dantumadiel	2	0	5531157	67.783	 - 	 - 	 - 	31.866	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	67.613	 - 	 - 	37.448	 - 	20.134	11.853
1940	De Fryske Marren	2	0	3345512	162.969	 - 	 - 	 - 	37.972	43.920	 - 	 - 	 - 	 - 	153.191	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	307.812	 - 	 - 	110.888	 - 	34.529	31.741
