Gemeenten	Provincie	Gemeentegrootte	Stedelijkheid	Inwonertal
Aa en Hunze	Drenthe	20000tot50000inwoners	Nietstedelijk	25724
Aalsmeer	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	33063
Aalten	Gelderland	20000tot50000inwoners	Weinigstedelijk	27244
Achtkarspelen	Fryslân	20000tot50000inwoners	Nietstedelijk	28149
Alblasserdam	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	20356
Albrandswaard	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	26357
Alkmaar	Noord-Holland	100000tot150000inwoners	Sterkstedelijk	111834
Almelo	Overijssel	50000tot100000inwoners	Sterkstedelijk	73949
Almere	Flevoland	150000tot250000inwoners	Sterkstedelijk	222825
Alphen aan den Rijn	Zuid-Holland	100000tot150000inwoners	Sterkstedelijk	114182
Alphen-Chaam	Noord-Brabant	10000tot20000inwoners	Nietstedelijk	10463
Altena	Noord-Brabant	50000tot100000inwoners	Weinigstedelijk	57726
Ameland	Fryslân	minderdan5000inwoners	Nietstedelijk	3840
Amersfoort	Utrecht	150000tot250000inwoners	Sterkstedelijk	160759
Amstelveen	Noord-Holland	50000tot100000inwoners	Zeersterkstedelijk	94418
Amsterdam	Noord-Holland	250000inwonersofmeer	Zeersterkstedelijk	918117
Apeldoorn	Gelderland	150000tot250000inwoners	Sterkstedelijk	167191
Arnhem	Gelderland	150000tot250000inwoners	Sterkstedelijk	165770
Assen	Drenthe	50000tot100000inwoners	Sterkstedelijk	69414
Asten	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	17242
Baarle-Nassau	Noord-Brabant	5000tot10000inwoners	Nietstedelijk	7071
Baarn	Utrecht	20000tot50000inwoners	Sterkstedelijk	25008
Barendrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	48812
Barneveld	Gelderland	50000tot100000inwoners	Weinigstedelijk	61655
Beek (L.)	Limburg	10000tot20000inwoners	Weinigstedelijk	16132
Beekdaelen	Limburg	20000tot50000inwoners	Weinigstedelijk	35966
Beesel	Limburg	10000tot20000inwoners	Weinigstedelijk	13449
Berg en Dal	Gelderland	20000tot50000inwoners	Weinigstedelijk	35420
Bergeijk	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	19092
Bergen (L.)	Limburg	10000tot20000inwoners	Nietstedelijk	13119
Bergen (NH.)	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	30138
Bergen op Zoom	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	68864
Berkelland	Gelderland	20000tot50000inwoners	Weinigstedelijk	44022
Bernheze	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	32263
Best	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	30897
Beuningen	Gelderland	20000tot50000inwoners	Matigstedelijk	26573
Beverwijk	Noord-Holland	20000tot50000inwoners	Zeersterkstedelijk	42711
De Bilt	Utrecht	20000tot50000inwoners	Matigstedelijk	43884
Bladel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	21009
Blaricum	Noord-Holland	10000tot20000inwoners	Matigstedelijk	12490
Bloemendaal	Noord-Holland	20000tot50000inwoners	Matigstedelijk	23922
Bodegraven-Reeuwijk	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	36308
Boekel	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	11163
Borger-Odoorn	Drenthe	20000tot50000inwoners	Nietstedelijk	25919
Borne	Overijssel	20000tot50000inwoners	Matigstedelijk	24524
Borsele	Zeeland	20000tot50000inwoners	Nietstedelijk	23159
Boxtel	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	33748
Breda	Noord-Brabant	150000tot250000inwoners	Sterkstedelijk	186438
Bronckhorst	Gelderland	20000tot50000inwoners	Nietstedelijk	36277
Brummen	Gelderland	20000tot50000inwoners	Weinigstedelijk	21105
Brunssum	Limburg	20000tot50000inwoners	Sterkstedelijk	27682
Bunnik	Utrecht	10000tot20000inwoners	Weinigstedelijk	16026
Bunschoten	Utrecht	20000tot50000inwoners	Matigstedelijk	22500
Buren	Gelderland	20000tot50000inwoners	Nietstedelijk	27725
Capelle aan den IJssel	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	67552
Castricum	Noord-Holland	20000tot50000inwoners	Matigstedelijk	36345
Coevorden	Drenthe	20000tot50000inwoners	Weinigstedelijk	35700
Cranendonck	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20851
Culemborg	Gelderland	20000tot50000inwoners	Matigstedelijk	29729
Dalfsen	Overijssel	20000tot50000inwoners	Weinigstedelijk	29612
Dantumadiel	Fryslân	10000tot20000inwoners	Nietstedelijk	19194
Delft	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	106086
Deurne	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	32977
Deventer	Overijssel	100000tot150000inwoners	Sterkstedelijk	102781
Diemen	Noord-Holland	20000tot50000inwoners	Zeersterkstedelijk	32785
Dijk en Waard	Noord-Holland	50000tot100000inwoners	Matigstedelijk	88985
Dinkelland	Overijssel	20000tot50000inwoners	Nietstedelijk	26743
Doesburg	Gelderland	10000tot20000inwoners	Weinigstedelijk	11081
Doetinchem	Gelderland	50000tot100000inwoners	Matigstedelijk	59195
