Gemeenten	Provincie	Grootteklasse	Stedelijkheid	Inwonertal
Aa en Hunze	Drenthe	20000tot50000inwoners	Nietstedelijk	25936
Aalsmeer	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	33209
Aalten	Gelderland	20000tot50000inwoners	Weinigstedelijk	27471
Achtkarspelen	Fryslân	20000tot50000inwoners	Nietstedelijk	28197
Alblasserdam	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	20247
Albrandswaard	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	26710
Alkmaar	Noord-Holland	100000tot150000inwoners	Sterkstedelijk	112923
Almelo	Overijssel	50000tot100000inwoners	Sterkstedelijk	74752
Almere	Flevoland	150000tot250000inwoners	Sterkstedelijk	229570
Alphen aan den Rijn	Zuid-Holland	100000tot150000inwoners	Sterkstedelijk	115746
Alphen-Chaam	Noord-Brabant	10000tot20000inwoners	Nietstedelijk	10510
Altena	Noord-Brabant	50000tot100000inwoners	Weinigstedelijk	58736
Ameland	Fryslân	Minderdan5000inwoners	Nietstedelijk	3807
Amersfoort	Utrecht	150000tot250000inwoners	Sterkstedelijk	163310
Amstelveen	Noord-Holland	50000tot100000inwoners	Zeersterkstedelijk	95862
Amsterdam	Noord-Holland	250000inwonersofmeer	Zeersterkstedelijk	935793
Apeldoorn	Gelderland	150000tot250000inwoners	Sterkstedelijk	168563
Arnhem	Gelderland	150000tot250000inwoners	Sterkstedelijk	169302
Assen	Drenthe	50000tot100000inwoners	Sterkstedelijk	70395
Asten	Noord-Brabant	10000tot20000inwoners	Matigstedelijk	17390
Baarle-Nassau	Noord-Brabant	5000tot10000inwoners	Nietstedelijk	7205
Baarn	Utrecht	20000tot50000inwoners	Sterkstedelijk	25187
Barendrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	48568
Barneveld	Gelderland	50000tot100000inwoners	Weinigstedelijk	63160
Beek (L.)	Limburg	10000tot20000inwoners	Weinigstedelijk	16245
Beekdaelen	Limburg	20000tot50000inwoners	Weinigstedelijk	35817
Beesel	Limburg	10000tot20000inwoners	Weinigstedelijk	13525
Berg en Dal	Gelderland	20000tot50000inwoners	Weinigstedelijk	35556
Bergeijk	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	19260
Bergen (L.)	Limburg	10000tot20000inwoners	Nietstedelijk	13063
Bergen (NH.)	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	29718
Bergen op Zoom	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	70216
Berkelland	Gelderland	20000tot50000inwoners	Weinigstedelijk	43922
Bernheze	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	32618
Best	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	31652
Beuningen	Gelderland	20000tot50000inwoners	Matigstedelijk	26742
Beverwijk	Noord-Holland	20000tot50000inwoners	Zeersterkstedelijk	43005
De Bilt	Utrecht	20000tot50000inwoners	Matigstedelijk	43794
Bladel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	21009
Blaricum	Noord-Holland	10000tot20000inwoners	Matigstedelijk	12951
Bloemendaal	Noord-Holland	20000tot50000inwoners	Matigstedelijk	23583
Bodegraven-Reeuwijk	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	37220
Boekel	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	11461
Borger-Odoorn	Drenthe	20000tot50000inwoners	Nietstedelijk	26052
Borne	Overijssel	20000tot50000inwoners	Matigstedelijk	24738
Borsele	Zeeland	20000tot50000inwoners	Nietstedelijk	23127
Boxtel	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	34237
Breda	Noord-Brabant	150000tot250000inwoners	Sterkstedelijk	188834
Bronckhorst	Gelderland	20000tot50000inwoners	Nietstedelijk	36007
Brummen	Gelderland	20000tot50000inwoners	Weinigstedelijk	21394
Brunssum	Limburg	20000tot50000inwoners	Sterkstedelijk	27531
Bunnik	Utrecht	10000tot20000inwoners	Weinigstedelijk	16281
Bunschoten	Utrecht	20000tot50000inwoners	Matigstedelijk	22690
Buren	Gelderland	20000tot50000inwoners	Nietstedelijk	27976
Capelle aan den IJssel	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	68673
Castricum	Noord-Holland	20000tot50000inwoners	Matigstedelijk	36616
Coevorden	Drenthe	20000tot50000inwoners	Weinigstedelijk	35868
Cranendonck	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	21739
Culemborg	Gelderland	20000tot50000inwoners	Sterkstedelijk	30293
Dalfsen	Overijssel	20000tot50000inwoners	Weinigstedelijk	30051
Dantumadiel	Fryslân	10000tot20000inwoners	Nietstedelijk	19138
Delft	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	110224
Deurne	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	33388
Deventer	Overijssel	100000tot150000inwoners	Sterkstedelijk	104301
Diemen	Noord-Holland	20000tot50000inwoners	Zeersterkstedelijk	33256
Dijk en Waard	Noord-Holland	50000tot100000inwoners	Matigstedelijk	90745
Dinkelland	Overijssel	20000tot50000inwoners	Nietstedelijk	26727
Doesburg	Gelderland	10000tot20000inwoners	Weinigstedelijk	11120
Doetinchem	Gelderland	50000tot100000inwoners	Matigstedelijk	60051
Dongen	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	27565
Dordrecht	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	122847
Drechterland	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	20485
Drimmelen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	28294
Dronten	Flevoland	20000tot50000inwoners	Weinigstedelijk	44883
Druten	Gelderland	10000tot20000inwoners	Weinigstedelijk	19748
Duiven	Gelderland	20000tot50000inwoners	Matigstedelijk	24937
Echt-Susteren	Limburg	20000tot50000inwoners	Weinigstedelijk	32273
Edam-Volendam	Noord-Holland	20000tot50000inwoners	Matigstedelijk	37145
Ede	Gelderland	100000tot150000inwoners	Sterkstedelijk	124262
Eemnes	Utrecht	5000tot10000inwoners	Matigstedelijk	9927
Eemsdelta	Groningen	20000tot50000inwoners	Weinigstedelijk	44813
Eersel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20389
Eijsden-Margraten	Limburg	20000tot50000inwoners	Nietstedelijk	26180
Eindhoven	Noord-Brabant	150000tot250000inwoners	Zeersterkstedelijk	249054
Elburg	Gelderland	20000tot50000inwoners	Weinigstedelijk	23903
Emmen	Drenthe	100000tot150000inwoners	Weinigstedelijk	109698
Enkhuizen	Noord-Holland	10000tot20000inwoners	Matigstedelijk	18843
Enschede	Overijssel	150000tot250000inwoners	Sterkstedelijk	162337
Epe	Gelderland	20000tot50000inwoners	Weinigstedelijk	33469
Ermelo	Gelderland	20000tot50000inwoners	Weinigstedelijk	28127
Etten-Leur	Noord-Brabant	20000tot50000inwoners	Sterkstedelijk	45475
De Fryske Marren	Fryslân	50000tot100000inwoners	Weinigstedelijk	52234
Geertruidenberg	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	21948
Geldrop-Mierlo	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	40765
Gemert-Bakel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	31534
Gennep	Limburg	10000tot20000inwoners	Weinigstedelijk	17783
Gilze en Rijen	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	28611
Goeree-Overflakkee	Zuid-Holland	50000tot100000inwoners	Weinigstedelijk	52208
Goes	Zeeland	20000tot50000inwoners	Matigstedelijk	40125
Goirle	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	24461
Gooise Meren	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	61015
Gorinchem	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	38852
Gouda	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	76536
's-Gravenhage (gemeente)	Zuid-Holland	250000inwonersofmeer	Zeersterkstedelijk	568419
Groningen (gemeente)	Groningen	150000tot250000inwoners	Zeersterkstedelijk	244807
Gulpen-Wittem	Limburg	10000tot20000inwoners	Nietstedelijk	14016
Haaksbergen	Overijssel	20000tot50000inwoners	Matigstedelijk	24223
Haarlem	Noord-Holland	150000tot250000inwoners	Zeersterkstedelijk	168655
Haarlemmermeer	Noord-Holland	150000tot250000inwoners	Sterkstedelijk	165220
Halderberge	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	31351
Hardenberg	Overijssel	50000tot100000inwoners	Weinigstedelijk	63423
Harderwijk	Gelderland	50000tot100000inwoners	Sterkstedelijk	50070
Hardinxveld-Giessendam	Zuid-Holland	10000tot20000inwoners	Matigstedelijk	19126
Harlingen	Fryslân	10000tot20000inwoners	Matigstedelijk	16210
Hattem	Gelderland	10000tot20000inwoners	Weinigstedelijk	12744
Heemskerk	Noord-Holland	20000tot50000inwoners	Sterkstedelijk	39387
Heemstede	Noord-Holland	20000tot50000inwoners	Sterkstedelijk	27639
